Subject,Task,Body Shape,Peak,InitialPeak,MomentPeak,kneeMrange,SecondPeak
2,FF,Normal BMI,34.05742175,22.82935925,1.57520425,1.86093075,0.1297085
2,OCHA,Normal BMI,31.6582604,12.6247708,1.0661201999999999,1.0314108000000002,-0.1925692
2,OCHB,Normal BMI,26.9576412,16.832507200000002,1.2353598,1.2595502,-0.0840538
2,OCMA,Normal BMI,29.895463571428568,12.31349942857143,1.0396847142857142,0.9042275714285715,-0.084876
2,OCMB,Normal BMI,27.177274750000002,18.2564555,1.28688425,1.1700897499999998,-0.123792
2,PRF,Normal BMI,25.47075775,16.1733765,1.0283072500000001,1.0344280000000001,0.007672000000000002
3,FF,Normal BMI,13.7044907,11.3190735,0.7282289,0.994083,0.0197591
3,OCHA,Normal BMI,15.876799,7.85831825,0.7177512500000001,0.79145275,-0.13895375
3,OCHB,Normal BMI,12.915597444444444,8.867564666666667,0.5730701111111112,0.7393746666666667,-0.2050468888888889
3,OCMA,Normal BMI,15.050908199999999,5.872719399999999,0.6530264,0.6910734,-0.11337900000000001
3,OCMB,Normal BMI,12.296734777777779,7.867759333333333,0.5227036666666667,0.6865588888888889,-0.1997216666666667
3,PRF,Normal BMI,12.384398200000001,8.6912386,0.45376779999999994,0.6512990000000001,-0.033797200000000006
4,FF,Normal BMI,25.050040777777777,12.067011666666666,1.1152805555555556,1.5330022222222222,0.4426777777777777
4,OCHA,Normal BMI,21.950975818181817,5.083964272727273,0.8379364545454545,0.9416411818181818,0.35076199999999996
4,OCHB,Normal BMI,21.6696249,8.8948827,0.9575400000000001,1.2197727999999999,0.3781832
4,OCMA,Normal BMI,22.6784432,5.9182484,0.9255525,1.0853667999999999,0.35472760000000003
4,OCMB,Normal BMI,23.854761,9.68713025,0.973057875,1.2312135,0.39588525
4,PRF,Normal BMI,23.433963444444444,13.262666444444443,0.758738,1.0143076666666666,0.3764326666666667
5,FF,Normal BMI,28.4060924,21.2794069,1.592306,1.9825317999999998,0.42683229999999994
5,OCHA,Normal BMI,13.9139074,1.1344312,0.3735043,0.6363692000000001,0.323589
5,OCHB,Normal BMI,19.945796555555557,16.481353555555554,0.9789265555555556,1.3384390000000002,0.8320935555555555
5,OCMA,Normal BMI,10.64141575,-0.6497014999999999,0.270889,0.540469,0.28145525000000005
5,OCMB,Normal BMI,21.748360571428574,18.22731742857143,1.0611372857142858,1.4477235714285714,0.7397701428571428
5,PRF,Normal BMI,24.596849600000002,19.967562800000003,0.9408837999999999,1.2928026,0.342124
8,FF,Normal BMI,22.787193,14.916132285714285,1.1306622857142856,1.576914857142857,0.11723757142857143
8,OCHA,Normal BMI,21.985619666666665,5.072095666666666,0.7449641111111112,0.7960590000000001,0.05064977777777778
