0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Group,Speed
0.1167945,0.20407175,0.26930925,0.32798,0.43440125,0.5608355,0.67810325,0.77476425,0.8579355,0.94094925,1.02735775,1.10351525,1.16222525,1.20797975,1.24371275,1.26782675,1.28179925,1.28355275,1.27251425,1.24985525,1.2149475,1.16755025,1.110067,1.046346,0.97893225,0.907697,0.8341985,0.7604665,0.68666425,0.61333425,0.5420195,0.474957,0.4121975,0.352688,0.296476,0.24516025,0.19888225,0.1560035,0.11538725,0.0772815,0.04298875,0.0145515,-0.0084145,-0.02897575,-0.04727075,-0.062434,-0.074925,-0.08517925,-0.09287525,-0.09876625,-0.1042985,-0.10942975,-0.113494,-0.117428,-0.12221075,-0.12690475,-0.131216,-0.13584275,-0.1402465,-0.1438235,-0.146748,-0.1490945,-0.151145,-0.15340075,-0.1560905,-0.15851125,-0.16058,-0.16303925,-0.16586025,-0.16832875,-0.17052325,-0.17330225,-0.17580375,-0.177197,-0.178645,-0.1803405,-0.18122525,-0.1812085,-0.18043825,-0.1789535,-0.17646825,-0.17337975,-0.17050225,-0.1672475,-0.163627,-0.15978525,-0.1550705,-0.1505595,-0.14683625,-0.143814,-0.14159525,-0.141638,-0.14781425,-0.16150875,-0.181997,-0.20933075,-0.2442045,-0.275949,-0.29791525,-0.3547205,-0.352662,1,1.267
-0.088831667,-0.134063667,-0.156448778,-0.160381889,-0.139084556,-0.090648556,-0.019957,0.058679444,0.125175889,0.180891333,0.235976444,0.294040889,0.347483889,0.393362667,0.431038222,0.462693222,0.489361333,0.508797889,0.517781556,0.515454889,0.504025667,0.486459222,0.461918556,0.430657111,0.395811778,0.358214,0.319073444,0.279652889,0.240255333,0.201677778,0.164609778,0.128719111,0.094530333,0.062206333,0.031445889,0.002079222,-0.025022444,-0.049762889,-0.072658333,-0.093098667,-0.112041667,-0.130273556,-0.147270889,-0.163304667,-0.178984222,-0.193957111,-0.208109556,-0.221395111,-0.233438444,-0.244395556,-0.254173778,-0.263139111,-0.271657556,-0.279566111,-0.286451111,-0.292115222,-0.296267444,-0.298892444,-0.301481222,-0.303967667,-0.304772,-0.304698,-0.304718111,-0.303806333,-0.302755556,-0.301309667,-0.299732,-0.298377778,-0.296979556,-0.295597111,-0.293447222,-0.291123889,-0.289586222,-0.28789,-0.285829556,-0.283651333,-0.281069111,-0.278735444,-0.276109556,-0.272582778,-0.268655667,-0.264393,-0.258869333,-0.252541333,-0.245812222,-0.238296222,-0.230363778,-0.222511667,-0.215214333,-0.208333333,-0.203747778,-0.203109222,-0.207805111,-0.219820222,-0.239218111,-0.265787111,-0.300152889,-0.334624444,-0.353177667,-0.397270222,-0.387521333,1,1.315
-0.235711625,-0.257309625,-0.22999875,-0.183941625,-0.11624075,-0.036430375,0.052943625,0.158503125,0.2756465,0.393956125,0.50452225,0.602176375,0.684172625,0.7516815,0.805807125,0.848423625,0.882637,0.911575875,0.936512125,0.956014125,0.967259625,0.968801125,0.961206375,0.945239875,0.921249625,0.88984225,0.85148975,0.8072315,0.757976625,0.705007125,0.649630875,0.59262275,0.534873625,0.477410625,0.421043,0.3660065,0.313917,0.265606,0.22059375,0.1799475,0.1445165,0.113808125,0.087683875,0.066138625,0.048568125,0.034501125,0.0228925,0.013452,0.0070365,0.00338875,0.002169125,0.00337025,0.007492875,0.015798125,0.027864125,0.042655125,0.059835125,0.07876325,0.098656,0.118899625,0.139413125,0.160020875,0.179926,0.198431,0.2170135,0.237128875,0.259387,0.284110875,0.310752,0.338241875,0.36643475,0.395035125,0.42161,0.443386,0.458872375,0.4673315,0.468372875,0.460785,0.445108875,0.42289325,0.39588525,0.36628675,0.335373375,0.304554875,0.275258,0.247516125,0.22035075,0.1917085,0.160221,0.125509375,0.0863855,0.043231375,-0.0016065,-0.046726625,-0.09077225,-0.13244575,-0.168208625,-0.19331475,-0.20602,-0.216065625,-0.20175275,1,1.484
-0.382535857,-0.315002857,-0.202300286,-0.198574143,-0.208609,-0.127090143,8.91E-05,0.135623857,0.270298,0.389841429,0.493341,0.599623714,0.708033,0.786537857,0.859373,0.928494,0.981717286,1.019278714,1.042778,1.052428143,1.046402429,1.024533714,0.988849286,0.941646,0.886071,0.824194571,0.758997571,0.692119,0.625330857,0.560248286,0.497185857,0.439085571,0.385245286,0.334180857,0.286027429,0.241313571,0.200728857,0.165027286,0.134455571,0.109018571,0.086969286,0.067485,0.051250857,0.037609,0.027555857,0.021319429,0.017737,0.016817429,0.017880143,0.020834286,0.026634,0.036434714,0.048343571,0.062220857,0.079972143,0.100327143,0.122971429,0.148414857,0.175653571,0.205039857,0.236505143,0.268713857,0.303062714,0.340506429,0.379719714,0.421935857,0.467391429,0.514903857,0.564808571,0.615560571,0.665003571,0.710837571,0.750757143,0.783307857,0.806591286,0.819541714,0.822761143,0.814441429,0.795879143,0.769996571,0.737234286,0.698851571,0.657290571,0.615197143,0.573289714,0.531312857,0.488925143,0.443163714,0.390393143,0.328291571,0.258439286,0.183903143,0.104172857,0.024571286,-0.047599714,-0.113024429,-0.170395857,-0.214574,-0.243717857,-0.272096857,-0.269953714,1,1.441
-0.211840778,-0.224190778,-0.162170889,-0.075621556,0.027891667,0.139621222,0.264616222,0.414829111,0.565820222,0.689593222,0.786117111,0.869775222,0.946284,1.013186222,1.070623889,1.116699778,1.148257444,1.168546222,1.179615,1.178967667,1.164812333,1.135643333,1.090517667,1.030541778,0.958186556,0.876907444,0.791523556,0.706607111,0.625061778,0.548303222,0.477385444,0.412611222,0.353121889,0.298427889,0.248542333,0.202533444,0.158978444,0.118505778,0.081783556,0.048036889,0.017726,-0.008402111,-0.030627111,-0.049083778,-0.064478556,-0.077827333,-0.089334889,-0.099336778,-0.108306778,-0.116642444,-0.124688222,-0.132298222,-0.139870778,-0.147464556,-0.154607667,-0.161493556,-0.168094222,-0.174062111,-0.179505444,-0.184073667,-0.187035222,-0.188394667,-0.187624778,-0.184523222,-0.179790556,-0.173565222,-0.166203444,-0.158477889,-0.151289333,-0.145290556,-0.141384333,-0.139919889,-0.140896333,-0.144522667,-0.150281778,-0.158276111,-0.168015889,-0.177269778,-0.185037,-0.190725778,-0.192827,-0.190054556,-0.181793333,-0.168595556,-0.151587222,-0.132148556,-0.112571556,-0.095772889,-0.085194,-0.084102222,-0.096040889,-0.120643222,-0.156130667,-0.202737444,-0.257456333,-0.316529111,-0.376508444,-0.421663889,-0.446554667,-0.507204556,-0.501329667,1,1.469
-0.3221062,-0.279414,-0.206487,-0.2024697,-0.195946,-0.1490387,-0.0632658,0.0140799,0.0630966,0.0974618,0.1439273,0.2013568,0.2480652,0.2834156,0.3145956,0.344201,0.3711924,0.3969552,0.4244196,0.4476359,0.4582814,0.455069,0.4406175,0.4179233,0.3910211,0.3618806,0.3302252,0.2961661,0.2610984,0.2271512,0.1944559,0.1621039,0.130324,0.1000713,0.0708942,0.0420494,0.0141801,-0.01255,-0.0383913,-0.0633791,-0.0874586,-0.1100909,-0.1305162,-0.1486906,-0.1649416,-0.178778,-0.1895929,-0.1966546,-0.1996147,-0.1990588,-0.1953878,-0.1889426,-0.1798434,-0.168009,-0.1542125,-0.1398238,-0.1256181,-0.1120387,-0.0997763,-0.0897801,-0.0822413,-0.0771408,-0.0751826,-0.0759209,-0.07848,-0.0829861,-0.0892357,-0.096164,-0.1030541,-0.1101134,-0.1174482,-0.1238968,-0.1289098,-0.1328327,-0.1354042,-0.1365531,-0.1367418,-0.1358622,-0.1340116,-0.1321352,-0.1292755,-0.1248265,-0.1193513,-0.111356,-0.1020571,-0.0948631,-0.0862084,-0.0750054,-0.0675317,-0.0647318,-0.0650424,-0.0698186,-0.0805445,-0.0978701,-0.123499,-0.1588478,-0.2017788,-0.2406898,-0.2742889,-0.3327159,-0.3431662,1,1.392
-0.2491183,-0.208457,-0.1706082,-0.2156406,-0.2125285,-0.1136118,0.0361211,0.1536457,0.2434787,0.3221144,0.3948277,0.4566393,0.5083409,0.5559932,0.5996876,0.6375174,0.6678781,0.6907951,0.706064,0.7138395,0.7154447,0.7114187,0.7010287,0.6846777,0.6640068,0.6390227,0.6096803,0.5775568,0.5438932,0.5092715,0.4744113,0.4392364,0.4037154,0.3675489,0.331006,0.2949735,0.2590314,0.2235001,0.1892601,0.1565907,0.1255863,0.0960183,0.0682639,0.04209,0.0172391,-0.0061165,-0.0275727,-0.04731,-0.0660565,-0.0837252,-0.1005829,-0.117221,-0.1339599,-0.1499415,-0.1648881,-0.1795928,-0.1942197,-0.2090154,-0.223756,-0.2381681,-0.2522373,-0.2662404,-0.2795945,-0.2913703,-0.3016361,-0.3104399,-0.3172007,-0.3209619,-0.32248,-0.322194,-0.3193638,-0.3148136,-0.3093928,-0.3030536,-0.2967303,-0.2909725,-0.2853991,-0.2796098,-0.273809,-0.268173,-0.2618613,-0.2544842,-0.2458732,-0.2362928,-0.2260409,-0.2154615,-0.2052112,-0.1979911,-0.1935655,-0.1893555,-0.1897333,-0.1974937,-0.2100914,-0.2281699,-0.2528568,-0.2812671,-0.3136393,-0.341863,-0.3563115,-0.3889308,-0.371878,1,1.342
-0.146015,-0.143227444,-0.102504556,-0.059835333,-0.000914889,0.090068778,0.210795333,0.331181556,0.434716667,0.525152778,0.607512889,0.679313778,0.738949111,0.789371556,0.831031556,0.859931778,0.875476111,0.880522222,0.875523222,0.862354444,0.842292,0.817348556,0.788764,0.756860778,0.724519667,0.692672444,0.660989889,0.630027,0.599450778,0.570436333,0.543445778,0.517286444,0.492701333,0.469737556,0.446580444,0.424169,0.403494444,0.383341333,0.363733111,0.345263222,0.327716333,0.310978667,0.294685444,0.279476667,0.265103667,0.251187889,0.238707556,0.226666889,0.215122333,0.204625333,0.195003333,0.186072556,0.177919333,0.170598333,0.163793889,0.157719222,0.152506444,0.148099778,0.144702778,0.142687667,0.142218111,0.143254667,0.145683556,0.148964111,0.153221111,0.158900222,0.165537778,0.172653667,0.180569111,0.187081444,0.193068556,0.198816889,0.202620333,0.204944,0.205839111,0.205491333,0.203906667,0.201161889,0.197986444,0.194318667,0.191051,0.188629556,0.187690667,0.188827556,0.192113111,0.198257111,0.205149333,0.212507667,0.216854222,0.217782,0.215065889,0.200956556,0.176700556,0.142686667,0.096974111,0.040167,-0.021710889,-0.079276111,-0.125228,-0.165311111,-0.188050111,1,1.199
-0.216002,-0.2196325,-0.178036125,-0.143643125,-0.104462875,-0.046314125,0.039140375,0.15239375,0.287125125,0.42851725,0.56211625,0.67777525,0.7745405,0.85514475,0.922977375,0.982027125,1.03613775,1.086545125,1.131993125,1.170952,1.20200975,1.223346,1.234668,1.236416375,1.227994625,1.208017,1.175476625,1.131019375,1.077045,1.016066875,0.950185875,0.881459875,0.810845375,0.739337375,0.6688025,0.600157,0.5341285,0.472076875,0.414567625,0.3607765,0.310235375,0.26375925,0.22136225,0.182087375,0.14591075,0.113333875,0.084361,0.059322125,0.038046,0.020123,0.00584825,-0.004344125,-0.010350875,-0.012639,-0.011572125,-0.007381375,-0.00086175,0.006681,0.0150855,0.024008875,0.03165675,0.0366435,0.038855625,0.03854425,0.035111375,0.02809225,0.01812125,0.0058865,-0.007567375,-0.02066,-0.0323235,-0.042055625,-0.048810125,-0.0518335,-0.051395375,-0.04770975,-0.04126675,-0.032436875,-0.02084,-0.006526125,0.009876125,0.02804425,0.0476615,0.068172375,0.089547125,0.11186975,0.13446175,0.15642175,0.17702325,0.19528725,0.2089565,0.215548375,0.214829,0.205490875,0.184009875,0.14737325,0.09549975,0.0365835,-0.0229755,-0.080694,-0.1206525,1,1.682
-0.0649709,-0.0831686,-0.0597582,-0.0137891,0.0440977,0.1137299,0.2024366,0.3163449,0.4324654,0.531407,0.6138962,0.6863967,0.7544555,0.8187344,0.8809538,0.9413364,0.9956713,1.0399551,1.0722841,1.0934171,1.1052227,1.1101599,1.1100923,1.1047056,1.0903882,1.0627776,1.0231771,0.9758737,0.9237521,0.8685333,0.8111932,0.7518993,0.6903244,0.6267807,0.562775,0.4996244,0.4379345,0.3782327,0.3216103,0.2687632,0.2190845,0.1721228,0.1287113,0.0891044,0.0535045,0.0225254,-0.004899,-0.0292508,-0.0500034,-0.067633,-0.083364,-0.0973582,-0.1090928,-0.1187258,-0.1271432,-0.1344793,-0.1404827,-0.1461,-0.1519446,-0.1570236,-0.1609335,-0.1640764,-0.1670113,-0.1695375,-0.1714374,-0.1728193,-0.1735419,-0.1736167,-0.173091,-0.1718093,-0.1701544,-0.1687741,-0.1671436,-0.1647258,-0.1627936,-0.1624547,-0.1636015,-0.1651534,-0.1667566,-0.168457,-0.1691978,-0.1675129,-0.1624442,-0.1535984,-0.1406595,-0.123415,-0.1023903,-0.0801209,-0.0596437,-0.04325,-0.0346178,-0.0358415,-0.047716,-0.0720797,-0.1057972,-0.1453668,-0.1944265,-0.2436386,-0.2844674,-0.3480162,-0.3541523,1,1.39
