0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Group,Speed
-0.0241904,0.0579286,0.1436104,0.2110358,0.3173652,0.4599078,0.5892326,0.6879248,0.7771716,0.8700124,0.9574398,1.0332632,1.0976482,1.1518666,1.1955824,1.2236288,1.2326172,1.2246428,1.2021206,1.166494,1.1197286,1.063848,1.00048,0.932685,0.8622414,0.7909302,0.7201816,0.6509006,0.584147,0.5188888,0.455456,0.3933112,0.3324064,0.2759196,0.2234236,0.175043,0.1319734,0.0933426,0.0592406,0.0288964,0.0004752,-0.0241686,-0.044778,-0.0630028,-0.078772,-0.0918988,-0.1033426,-0.113682,-0.1222842,-0.1284128,-0.1341366,-0.140027,-0.144359,-0.1496362,-0.1543458,-0.1575546,-0.1603508,-0.1639242,-0.1679392,-0.1711954,-0.1732702,-0.1737782,-0.172536,-0.1690552,-0.1638908,-0.1584244,-0.1524596,-0.1473298,-0.1424764,-0.1362008,-0.129062,-0.1216654,-0.1135702,-0.1067584,-0.1021216,-0.0975578,-0.093606,-0.0910726,-0.0906364,-0.0914258,-0.0929984,-0.0956094,-0.09867,-0.1024028,-0.1058866,-0.1079804,-0.1103438,-0.1140374,-0.118756,-0.1224192,-0.1320404,-0.1470938,-0.1607452,-0.1826132,-0.2124108,-0.2475588,-0.2892054,-0.3342714,-0.3604568,-0.409463,-0.400013,1,1.241
-0.127876556,-0.136252,-0.130351889,-0.124094333,-0.100174667,-0.042508111,0.039432111,0.122654333,0.194293778,0.257012444,0.315948111,0.370497778,0.419976556,0.464137222,0.499684222,0.527617778,0.545738667,0.546384667,0.548498556,0.550115111,0.527439556,0.501126222,0.472396889,0.435705556,0.394714778,0.350658333,0.304290111,0.257577,0.211744667,0.167876556,0.126248556,0.086302667,0.048725111,0.013842667,-0.018620222,-0.048311556,-0.074992111,-0.099497556,-0.122224333,-0.142249333,-0.160058667,-0.176946222,-0.192009333,-0.205176,-0.217672778,-0.229028778,-0.239375333,-0.248529444,-0.257030667,-0.264760778,-0.272337111,-0.279162667,-0.284836,-0.290444,-0.294769222,-0.297555667,-0.299590444,-0.301334667,-0.302238222,-0.301654667,-0.300493556,-0.299563667,-0.298177222,-0.296434889,-0.294770444,-0.293340222,-0.291600222,-0.289720667,-0.287232667,-0.285175333,-0.283206222,-0.280276778,-0.277373444,-0.274803556,-0.272431556,-0.271044111,-0.270038333,-0.268941556,-0.268568556,-0.267688333,-0.266589444,-0.265646556,-0.263130111,-0.25897,-0.254296333,-0.248456667,-0.241435556,-0.234584667,-0.228186333,-0.223060556,-0.219472667,-0.219184333,-0.224890222,-0.237927556,-0.260807778,-0.290874778,-0.328053222,-0.367698778,-0.387554333,-0.433169111,-0.427401889,1,1.319
-0.2298089,-0.2622328,-0.2337688,-0.172396,-0.0832614,0.0120445,0.1113689,0.2252821,0.3515299,0.480028,0.5966085,0.6900231,0.7602308,0.8122513,0.8504855,0.8790468,0.9019353,0.9216752,0.9362538,0.9429759,0.9418756,0.9326712,0.9152516,0.8902298,0.8581023,0.8194273,0.7742898,0.7233174,0.6678425,0.6093813,0.5496752,0.4902426,0.4320295,0.3762744,0.3240953,0.2761477,0.2331271,0.1959006,0.1645226,0.1384173,0.1172085,0.1003925,0.0874052,0.0777467,0.0712504,0.0677203,0.0668756,0.0687989,0.073461,0.0807147,0.0903698,0.1024655,0.1169847,0.1330712,0.1495579,0.1662958,0.1826975,0.1980627,0.2123373,0.2258519,0.2389686,0.2523413,0.2666046,0.2819216,0.299223,0.3193568,0.3424036,0.3690202,0.3986177,0.4281482,0.4544911,0.4774467,0.4964843,0.5091972,0.5138656,0.5100729,0.4971774,0.4758763,0.4478032,0.4143237,0.3781832,0.341227,0.3045706,0.270643,0.2401407,0.2123717,0.1871783,0.1627172,0.136018,0.1047379,0.0661443,0.0204291,-0.0282808,-0.0795166,-0.1325926,-0.1823586,-0.2244845,-0.2537658,-0.2663279,-0.2751571,-0.2562502,1,1.474
-0.351997333,-0.322206,-0.202173556,-0.180756667,-0.183690444,-0.089943444,0.053577222,0.199400333,0.340611778,0.454633778,0.552002333,0.657712667,0.742609111,0.809766556,0.873831111,0.925692333,0.956277667,0.972093667,0.971083333,0.951464222,0.915678222,0.866331556,0.807659556,0.742089222,0.672891222,0.603243778,0.536330444,0.473069778,0.415253222,0.362323,0.313288556,0.269297222,0.230042889,0.195256556,0.165401222,0.139977667,0.118088333,0.100485222,0.085975667,0.073271222,0.063369889,0.057239222,0.054016,0.052594333,0.053403667,0.056945111,0.063571444,0.072518333,0.082901778,0.094816556,0.107614889,0.120336889,0.134372444,0.149997667,0.165953333,0.182621111,0.201344222,0.222518222,0.244716333,0.267721667,0.292656556,0.320512889,0.351408444,0.384879556,0.420952667,0.460417222,0.503080889,0.546528,0.590788889,0.635775111,0.681453667,0.725069778,0.764704556,0.800041556,0.829947,0.852081556,0.865945333,0.871393222,0.866875444,0.853004556,0.832093556,0.802718111,0.764664444,0.719788222,0.668989667,0.611286333,0.545876556,0.473166444,0.391962222,0.303095222,0.209749,0.112000667,0.014007222,-0.079692778,-0.163181667,-0.233278667,-0.288983556,-0.330661444,-0.349422667,-0.356738333,-0.328869778,1,1.389
-0.232424111,-0.245370778,-0.190420889,-0.118983778,-0.012060556,0.113933333,0.258414,0.419188444,0.568238667,0.687247556,0.783701,0.870686111,0.948774444,1.017161556,1.072714111,1.114555667,1.144721889,1.163624111,1.168389222,1.156396222,1.127597556,1.081523778,1.020709889,0.948179556,0.867064667,0.781666889,0.696306667,0.614434667,0.537405667,0.465885667,0.399662111,0.338366,0.282255111,0.231349222,0.184535444,0.141758889,0.103266667,0.068728556,0.038695,0.012867333,-0.009434222,-0.028188333,-0.044390222,-0.058482667,-0.070970667,-0.082415778,-0.092611444,-0.101658444,-0.110201556,-0.118307889,-0.126028222,-0.133617111,-0.141444778,-0.148862889,-0.154941,-0.160351333,-0.165108111,-0.168380556,-0.169964222,-0.169494222,-0.166515333,-0.161804222,-0.155594333,-0.147715667,-0.139497222,-0.131566556,-0.124447111,-0.118849222,-0.114747889,-0.112449444,-0.111287667,-0.111570889,-0.113118778,-0.115656556,-0.118690444,-0.120547556,-0.122223,-0.122269222,-0.119322889,-0.114256,-0.106162556,-0.095230222,-0.082228444,-0.067037,-0.050684111,-0.035573778,-0.021973,-0.012429889,-0.012006222,-0.021120444,-0.041409889,-0.073797889,-0.117146,-0.172661889,-0.236649,-0.302469778,-0.368086111,-0.421898222,-0.446740444,-0.507058222,-0.494668778,1,1.407
-0.3482383,-0.2978978,-0.2161077,-0.2159445,-0.2229563,-0.168091,-0.0682136,0.0168102,0.0685365,0.1128611,0.1759278,0.2402559,0.2941289,0.3400707,0.3797035,0.4147302,0.4513605,0.4895419,0.5197824,0.5336779,0.5325831,0.520063,0.4977405,0.4688216,0.4360513,0.4006828,0.3626752,0.3230723,0.2832175,0.2433795,0.2042092,0.1664445,0.1306233,0.0966631,0.064359,0.0339949,0.0058571,-0.0205706,-0.0451996,-0.067405,-0.08763,-0.1064249,-0.1240357,-0.1399589,-0.1534629,-0.164516,-0.172924,-0.1782638,-0.1804988,-0.1790297,-0.1747785,-0.1687211,-0.159837,-0.1486728,-0.1360882,-0.1224989,-0.1090225,-0.0963945,-0.0849402,-0.0747232,-0.0667615,-0.0610622,-0.0569158,-0.0544487,-0.0533471,-0.053823,-0.0558924,-0.058499,-0.0614662,-0.0650623,-0.0688152,-0.0722223,-0.0756208,-0.0789675,-0.0818126,-0.0846766,-0.0877187,-0.0906946,-0.09451,-0.0991507,-0.1036635,-0.108627,-0.1131462,-0.1159369,-0.1175182,-0.1156958,-0.1120489,-0.1148783,-0.1225371,-0.1283683,-0.1357228,-0.1487479,-0.1671454,-0.1916025,-0.2215611,-0.2572694,-0.3004624,-0.3399078,-0.3640653,-0.4169496,-0.4143141,1,1.371
-0.2905133,-0.2304486,-0.1763807,-0.2198266,-0.2147909,-0.1086796,0.0483913,0.1715624,0.2663124,0.3518392,0.4318077,0.4990955,0.5556902,0.607564,0.6545222,0.6945036,0.7257842,0.7488579,0.7633429,0.7694747,0.769649,0.76461,0.7529623,0.7346963,0.7101709,0.68062,0.647848,0.6122771,0.5752557,0.5381188,0.5004877,0.4618152,0.4223379,0.3831707,0.345372,0.3078955,0.270778,0.2344712,0.1985117,0.1640756,0.1323581,0.1024586,0.0744367,0.0484797,0.0238383,0.0010346,-0.0197659,-0.0396804,-0.0589127,-0.0772765,-0.0950106,-0.112211,-0.1289286,-0.1448855,-0.1600685,-0.1744782,-0.1881464,-0.2016558,-0.2148735,-0.2273681,-0.2394618,-0.2507987,-0.2606551,-0.2693136,-0.2768687,-0.282777,-0.2866367,-0.2884216,-0.2876364,-0.2838286,-0.277607,-0.2696163,-0.2605909,-0.2511869,-0.2418684,-0.233613,-0.2268207,-0.2214702,-0.2172971,-0.2140795,-0.2117052,-0.2095851,-0.207338,-0.204758,-0.202162,-0.1993356,-0.1973615,-0.1978358,-0.2000537,-0.2056689,-0.2186989,-0.2380458,-0.2619373,-0.2913137,-0.3250705,-0.3614897,-0.3996989,-0.4280269,-0.4358806,-0.4645968,-0.4338727,1,1.362
-0.1271117,-0.1127408,-0.0793343,-0.0506309,0.0089044,0.1131436,0.2291871,0.3278455,0.4171274,0.5012973,0.5728876,0.6340556,0.6859157,0.7258584,0.752164,0.766064,0.769724,0.7665733,0.756224,0.739984,0.7193961,0.6945628,0.6674068,0.6398248,0.6133762,0.5876511,0.5637507,0.5412496,0.5198306,0.49951,0.4794613,0.4603193,0.4410855,0.4214764,0.4012641,0.3803609,0.3601763,0.3409253,0.3217357,0.3026896,0.2849737,0.2685468,0.2529478,0.2378468,0.2231041,0.2093821,0.1966291,0.1837542,0.1718004,0.1614215,0.1516948,0.1432144,0.1368829,0.1312472,0.1272344,0.1252757,0.1249753,0.126921,0.130772,0.1354601,0.1425583,0.1503891,0.1576468,0.1654262,0.1731391,0.1796265,0.1861743,0.1922316,0.19831,0.2036371,0.2082669,0.2125434,0.215858,0.2177153,0.2181189,0.2174528,0.2154387,0.2121777,0.2083418,0.2041897,0.2002935,0.1969646,0.1942159,0.1926147,0.1927558,0.1944645,0.1964284,0.200052,0.2039925,0.2057622,0.2034634,0.1963844,0.1787039,0.1494353,0.1059792,0.0476203,-0.0226458,-0.0948028,-0.1555416,-0.2032308,-0.2246383,1,1.092
-0.2059682,-0.2114632,-0.1696002,-0.1305355,-0.0966855,-0.0454984,0.0432134,0.1661887,0.3069747,0.4453917,0.571769,0.682667,0.7775565,0.8598109,0.9355181,1.007005,1.0719649,1.1295477,1.1802108,1.2219621,1.2527303,1.2722846,1.2805122,1.2762943,1.2582716,1.2265317,1.1827216,1.1300334,1.0713331,1.0079081,0.9410334,0.8720839,0.8020648,0.7319679,0.6631884,0.5966728,0.5327789,0.4726489,0.4172049,0.3661033,0.3191241,0.2759676,0.2362555,0.2001192,0.1668519,0.1356092,0.1068638,0.080529,0.0567349,0.0378882,0.0250383,0.0172711,0.0143126,0.0154654,0.0196922,0.025899,0.0326712,0.0397135,0.0470111,0.0539327,0.0600594,0.0652089,0.0693949,0.0727511,0.0758252,0.0786751,0.0810821,0.0838773,0.087286,0.0911531,0.0953724,0.0997218,0.1041323,0.1087081,0.1135184,0.1180586,0.1221361,0.1251391,0.1268784,0.1281803,0.1295081,0.1305874,0.1323053,0.1360444,0.1418725,0.1491296,0.1574767,0.1655921,0.1711696,0.1725279,0.1681689,0.1560456,0.1352041,0.1067978,0.0723337,0.0322244,-0.0153321,-0.0677783,-0.1232614,-0.1876846,-0.2241747,1,1.632
-0.0291315,-0.0541549,-0.0418477,0.0014383,0.0576102,0.1277719,0.2226202,0.3439092,0.4645266,0.5673125,0.6504249,0.7239957,0.7931303,0.8599016,0.9247179,0.9858215,1.0386604,1.0787891,1.1065498,1.1231014,1.1310526,1.1327029,1.1261856,1.1085064,1.0780958,1.0356662,0.9847202,0.9291153,0.8697161,0.8077999,0.7435474,0.6767691,0.6089305,0.5412081,0.4747699,0.4103622,0.3488742,0.2912701,0.2370765,0.1869404,0.1418322,0.1018005,0.0662916,0.0347395,0.0074227,-0.0157737,-0.0350995,-0.0505739,-0.0632125,-0.0737982,-0.0819071,-0.0877018,-0.0920651,-0.0954504,-0.0972647,-0.0980046,-0.0985097,-0.0984349,-0.0973023,-0.0961524,-0.0942631,-0.0904469,-0.0865192,-0.0825728,-0.0773668,-0.0704923,-0.0617129,-0.0508233,-0.0377455,-0.022892,-0.0068288,0.0099867,0.0277155,0.0457642,0.0625177,0.0775669,0.0910485,0.1027741,0.1126385,0.119862,0.1229435,0.1227605,0.1229329,0.123228,0.1224651,0.1217691,0.1212548,0.1200298,0.1167776,0.1097911,0.0968885,0.0756794,0.0435346,-0.0001994,-0.0548526,-0.1195106,-0.1897633,-0.2562645,-0.3120908,-0.3891088,-0.4019912,1,1.339
